State,Rank,Name,City,Zip,URL,Latitude,Longitude,ADMrate,Ownership,Citytype,SAT,AvgCost,Major_agriculture,Major_NatureResource,Major_Architecture,Major_CS,Major_Edu,Major_Engineering,Major_Bio,Major_MathStat,Major_Psychology,Major_SocialScience,Major_Business,Major_History,Earn,CrimeRate,HappyRank,HappyScore,ACT,Enrollment,FBI.TotalCrime,FBI.CrimeRate,Application.Deadline
ME,49,Bates College,Lewiston,4240,www.bates.edu/,44.105299,-70.203333,0.2542,Private nonprofit,City,NULL,61000,0,1,0,0,0,1,1,1,1,1,0,1,59000,127.8,33,51.32,NULL,1773,1600,4.42,1-Jan-19
WA,50,Whitman College,Walla Walla,99362,www.whitman.edu,46.07135,-118.33016,0.4101,Private nonprofit,City,1323,56600,0,0,0,0,0,1,1,1,1,1,0,1,43600,285.2,12,59.26,30,1480,3402,10.65,15-Jan-19
MA,51,Smith College,Northampton,1063,www.smith.edu,42.317933,-72.638094,0.4221,Private nonprofit,Suburb,NULL,60167,0,1,1,1,1,1,1,1,1,1,0,1,42000,391.4,16,57.42,NULL,2563,1516,5.31,15-Jan-19
PA,52,Lafayette College,Easton,18042-1768,https://www.lafayette.edu/,40.700512,-75.209058,0.2975,Private nonprofit,Suburb,1300,59750,0,1,0,1,0,1,1,1,1,1,0,1,64900,314.1,34,49.98,29,2471,1180,4.35,15-Jan-19
PA,53,Franklin and Marshall College,Lancaster,17604-3003,WWW.FANDM.EDU,40.048045,-76.319037,0.3893,Private nonprofit,City,NULL,60765,0,1,0,1,0,0,1,1,1,1,1,1,53500,314.1,34,49.98,NULL,2182,5280,8.9,15-Jan-19
CO,54,Colorado College,Colorado Springs,80903,www.coloradocollege.edu,38.84657,-104.82422,0.179,Private nonprofit,City,NULL,57400,0,1,0,1,1,0,1,1,1,1,0,1,37600,309.1,5,61.59,NULL,2036,36974,8.17,15-Jan-19
NY,55,University of Rochester,Rochester,14627-0011,www.rochester.edu,43.126437,-77.631042,0.3641,Private nonprofit,City,NULL,61340,0,1,0,1,1,1,1,1,1,1,1,1,61200,381.8,26,52.54,NULL,6074,20210,9.63,1-Jan-19
CA,56,Harvey Mudd College,Claremont,91711,https://www.hmc.edu,34.106137,-117.710594,0.1425,Private nonprofit,Suburb,1500,63860,0,0,0,1,0,1,1,1,1,1,0,0,82100,396.1,10,59.96,34,802,10598,6.86,1-Jan-19
MO,57,Washington University in St Louis,Saint Louis,63130-4899,www.wustl.edu,38.648125,-90.311639,0.1713,Private nonprofit,Suburb,1478,63755,0,1,1,1,1,1,1,1,1,1,1,1,68900,442.9,42,44.58,33,6913,51580,16.27,15-Jan-19
NC,58,Wake Forest University,Winston-Salem,27106,www.wfu.edu,36.135301,-80.279004,0.3441,Private nonprofit,City,NULL,60210,0,0,0,1,1,0,1,1,1,1,1,1,62900,329.5,30,52.16,NULL,4861,23750,8.31,1-Jan-19
